id;bairro;cep
1181;JARDIM ONDINA;02870030
1182;JARDIM ONDINA;02870040
1183;JARDIM ONDINA;02870050
1184;JARDIM ONDINA;02870060
1185;JARDIM ONDINA;02870070
1186;JARDIM ONDINA;02870080
1187;JARDIM ONDINA;02870100
1188;JARDIM ONDINA;02870110
1189;JARDIM ONDINA;02870120
1190;JARDIM ONDINA;02871000
1191;JARDIM ONDINA;02871010
1192;JARDIM ONDINA;02871020
1193;JARDIM ONDINA;02871030
1194;JARDIM ONDINA;02871040
1195;JARDIM ONDINA;02871050
1196;JARDIM ONDINA;02871054
1197;JARDIM ONDINA;02871060
1198;JARDIM ONDINA;02871070
1199;JARDIM ONDINA;02871080
1200;JARDIM ONDINA;02871090
1201;JARDIM ONDINA;02871100
1202;JARDIM ONDINA;02871110
1203;JARDIM ONDINA;02871120
1204;JARDIM ONDINA;02871130
1205;JARDIM ONDINA;02871140
1206;JARDIM ONDINA;02871150
1207;JARDIM ONDINA;02871160
1208;JARDIM ONDINA;02871170
1209;JARDIM ONDINA;02871180
1210;JARDIM ONDINA;02871190
1211;JARDIM ONDINA;02871200
1212;JARDIM ONDINA;02872000
1213;JARDIM ONDINA;02872010
1214;JARDIM ONDINA;02881000
1215;JARDIM ONDINA;02881020
1216;JARDIM ONDINA;02881030
1217;JARDIM ONDINA;02881040
1218;JARDIM PAULISTANO;02855200
1219;JARDIM PAULISTANO;02855280
1220;JARDIM PAULISTANO;02855210
1221;JARDIM PAULISTANO;02813020
1222;JARDIM PAULISTANO;02813020
1223;JARDIM PAULISTANO;02813120
1224;JARDIM PAULISTANO;02820090
1225;JARDIM PAULISTANO;02814020
1226;JARDIM PAULISTANO;02814010
1227;JARDIM PAULISTANO;02816000
1228;JARDIM PAULISTANO;02814000
1230;JARDIM PAULISTANO;02814030
1231;JARDIM PAULISTANO;02814040
1232;JARDIM PAULISTANO;04849522
1233;JARDIM PAULISTANO;02812000
1234;JARDIM PAULISTANO;02812275
1235;JARDIM PAULISTANO;02812000
1236;JARDIM PAULISTANO;02812020
1237;JARDIM PAULISTANO;02812100
1238;JARDIM PAULISTANO;02812130
1239;JARDIM PAULISTANO;02814052
1240;JARDIM PAULISTANO;02816010
1241;JARDIM PAULISTANO;02814010
1242;JARDIM PAULISTANO;02813000
1243;JARDIM PAULISTANO;02812130
1244;JARDIM PAULISTANO;02814230
1245;JARDIM PAULISTANO;02816020
1246;JARDIM PAULISTANO;02813070
1247;JARDIM PAULISTANO;02814140
1248;JARDIM PAULISTANO;02813047
1249;JARDIM PAULISTANO;02812290
1250;JARDIM PAULISTANO;02814220
1251;JARDIM PAULISTANO;02812275
1252;JARDIM PAULISTANO;02812030
1253;JARDIM PAULISTANO;02814150
1254;JARDIM PAULISTANO;02813080
1255;JARDIM PAULISTANO;02813047
1256;JARDIM PAULISTANO;02814220
1257;JARDIM PAULISTANO;02812275
1258;JARDIM PAULISTANO;02812030
